Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,46.380001,46.900002,46.209999,46.849998,46.849998,23370800
2018-01-03,45.470001,46.209999,43.650002,45.259998,45.259998,116479000
2018-01-04,43.520000,44.650002,42.689999,44.430000,44.430000,89209100
2018-01-05,44.430000,45.150002,43.900002,44.740002,44.740002,41824000
2018-01-08,44.270000,44.840000,43.959999,44.740002,44.740002,33733800
2018-01-09,44.700001,44.840000,43.490002,43.619999,43.619999,44282300
2018-01-10,43.330002,43.599998,42.439999,42.500000,42.500000,45735000
2018-01-11,42.799999,43.580002,42.450001,43.410000,43.410000,35371500
2018-01-12,43.450001,43.599998,43.009998,43.240002,43.240002,29973600
2018-01-16,43.549999,43.790001,42.889999,43.139999,43.139999,38367200
2018-01-17,43.549999,44.450001,43.509998,44.389999,44.389999,32368600
2018-01-18,44.400002,44.740002,44.169998,44.480000,44.480000,26826500
2018-01-19,44.619999,44.889999,44.250000,44.820000,44.820000,25780200
2018-01-22,44.799999,45.790001,44.790001,45.750000,45.750000,27706800
2018-01-23,45.810001,46.090000,45.630001,46.060001,46.060001,22135100
2018-01-24,45.900002,46.130001,44.959999,45.509998,45.509998,32464200
2018-01-25,45.880001,46.369999,45.169998,45.299999,45.299999,36758700
2018-01-26,48.380001,50.150002,48.119999,50.080002,50.080002,86916100
2018-01-29,49.599998,50.849998,49.369999,49.980000,49.980000,46050600
